Radius,Mass,Period,SemiMajorAxis,EqTemp,Density,StarTemp,StarLum,StarMet,Insolation,Target_Habitable,Habitability_Score,Log_Period,Star_Type_G,Star_Type_K,Star_Type_M,Star_Type_Other
1.875,7.99,0.7365474,0.01544,912.0,6.66,5172.0,-0.10297,0.35,62.3,0,0.1771402878903987,0.5518988891150868,False,False,False,True
2.43,48.5,260.58,0.802,912.0,1.527272,5198.0,-0.10297,0.39,62.3,0,0.11795592207881407,5.566740164061006,True,False,False,False
2.43,597.83523357,919.86,2.028,912.0,1.527272,4941.0,1.1186,-0.17,62.3,0,0.11795592207881407,6.825308016014605,False,True,False,False
2.43,5.1,4.215,0.050201,912.0,1.527272,5577.0,-0.095,-0.01,62.3,0,0.11795592207881407,1.6515390884527357,True,False,False,False
2.43,18.2,38.021,0.2175,912.0,1.527272,5577.0,-0.095,-0.01,62.3,0,0.11795592207881407,3.6640999627497135,True,False,False,False
2.43,22.9,123.01,0.476,912.0,1.527272,5577.0,-0.095,-0.01,62.3,0,0.11795592207881407,4.820362207514681,True,False,False,False
2.43,587.9855,735.1,1.758,912.0,1.527272,4826.0,1.06258,0.21,62.3,0,0.11795592207881407,6.60136597906466,False,False,False,True
2.43,276.5121,996.0,2.153,912.0,1.527272,4826.0,1.06258,0.21,62.3,0,0.11795592207881407,6.904750769961838,False,False,False,True
2.43,2357.02728,116.688,0.481,912.0,1.527272,5495.0,-0.10297,0.02,62.3,0,0.11795592207881407,4.768037054947911,False,False,False,True
2.43,787.89662095,696.62,1.912,912.0,1.527272,4809.0,1.7145,0.1,62.3,0,0.11795592207881407,6.547674541908572,True,False,False,False
2.43,289.85950718,2051.62,3.929,912.0,1.527272,4809.0,1.7145,0.1,62.3,0,0.11795592207881407,7.626872304903792,True,False,False,False
2.43,524.41687155,93.31,0.462,912.0,1.527272,4847.0,1.72346,-0.03,62.3,0,0.11795592207881407,4.546587228555794,False,False,False,True
2.43,1051.05854195,1005.57,2.104,912.0,1.527272,4734.0,1.76027,-0.11,62.3,0,0.11795592207881407,6.9143037905999005,True,False,False,False
2.43,1017.0,181.4,0.7,912.0,1.527272,4665.0,-0.10297,-0.03,62.3,0,0.11795592207881407,5.206202077640231,False,True,False,False
